id,title,description,url,img_url,publishing_date,publisher
20,Oy kullanılacak okullar seçime hazır,Yarın yapılacak Mahalli İdareler Genel Seçimleri için yurt genelindeki okullarda hazırlıklar tamamlandı.,https://www.cumhuriyet.com.tr/turkiye/oy-kullanilacak-okullar-secime-hazir-2191477?utm_campaign=Cumhuriyet&utm_medium=Surmanset&utm_source=Anasayfa,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/30/2191477/kapak_132314.jpg,2024-03-30 13:23:18+03:00,cumhuriyet
21,Hayatınızı iyi bir başlangıçla revize edin: Kötü alışkanları bırakmak için 5 basamak,Hayatımızdaki alışkanlıkları bırakmak ya da yeni bir alışkanlık edinmek bazen zorlu bir süreç olarak görülür. Özellikle alışkanlıklarımızı bırakma süreci kimilerimize göre sancılı bir dönemdir ancak alışkanlıklarınızdan kurtulmak birkaç öneriyle mümkün.,https://www.cumhuriyet.com.tr/kesfet/hayatinizi-iyi-bir-baslangicla-revize-edin-kotu-aliskanlari-birakmak-icin-5-basamak-2068494?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2023/6/30/2068494/kapak_181812.jpg,2023-06-30 18:18:13+03:00,cumhuriyet
22,İdil Biret Müzik Festivali Cumhuriyetin 100. yılı başlığıyla yapıldı,Muğla Büyükşehir Belediyesi 4. İdil Biret Müzik Festivali bu yıl Cumhuriyetin 100. yılı başlığıyla yapıldı. Festivalde kariyerlerine yurtdışında devam eden dört genç müzisyen sahne aldı.,https://www.cumhuriyet.com.tr/kultur-sanat/idil-biret-muzik-festivali-cumhuriyetin-100-yili-basligiyla-yapildi-2098322?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2023/7/11/2098322/kapak_124552.jpg,2023-07-11 13:20:16+03:00,cumhuriyet
23,2. İzmir Uluslararası Edebiyat-Sinema Buluşması başlıyor,İzmir Büyükşehir Belediyesi 2. İzmir Uluslararası Edebiyat-Sinema Buluşması’nı 19-26 Nisan tarihlerinde düzenliyor. Kentin birçok noktasında 17 filmin sanatseverlerle ücretsiz buluşacağı festivalde ayrıca İzmir Büyükşehir Belediyesi’nin Kültürpark’da düzenleyeceği İZKİTAP fuarına paralel olarak söyleşiler de yapılacak.,https://www.cumhuriyet.com.tr/kultur-sanat/2-izmir-uluslararasi-edebiyat-sinema-bulusmasi-basliyor-2185989?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/15/2185989/kapak_131723.jpg,2024-03-15 13:17:29+03:00,cumhuriyet
24,İkizköylüler ‘Akbelen’ kararını olumlu karşıladı: ‘Madene verecek köyümüz yok’,"Muğla'da Akbelen Ormanı çevresindeki tarım arazilerinin linyit madeni sahasına açılmasına yönelik 3 gün önce alınan kararın bugün iptal edilmesini İkizköylüler olumlu karşıladı. Maden sahasının bulunduğu alandan traktörde görüntülerini çeken İkizköylüler, Ölmek var, dönmek yok, Madene teslim olmak yok, Madene verecek köyümüz yok sloganları attı.",https://www.cumhuriyet.com.tr/turkiye/ikizkoyluler-akbelen-kararini-olumlu-karsiladi-madene-verecek-2185614?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/14/2185614/kapak_131010.jpg,2024-03-14 13:10:12+03:00,cumhuriyet
25,Minibüsün çarptığı kadın ezilmekten kıl payı kurtuldu,Bayburt’ta meydana gelen trafik kazasında kaldırımdan inen kadına minibüs çarptı. Yere savrulan kadın ezilmekten kıl payı kurtuldu.,https://www.cumhuriyet.com.tr/turkiye/minibusun-carptigi-kadin-ezilmekten-kil-payi-kurtuldu-2191395?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/30/2191395/kapak_095140.jpg,2024-03-30 10:24:20+03:00,cumhuriyet
26,İzmir’de Köy Tiyatroları iki yılda 16 bin seyirciye ulaştı,"İzmir’in köylerinden 7’den 70’e gönüllü katılımcılardan oluşan İzmir Büyükşehir Belediyesi Köy Tiyatroları 2 yılda, 11 noktada, 110 gösteriyle 16 bin seyirciye ulaştı. Ekibe katılan kadınların kimisi okuma yazma bilmiyor, kimisi ise bastonuna rağmen sahneden kopamıyor. Köy halkı, tiyatro sayesinde hem eğleniyor, hem de birbirine destek oluyor.",https://www.cumhuriyet.com.tr/kultur-sanat/izmirde-koy-tiyatrolari-iki-yilda-16-bin-seyirciye-ulasti-2162474?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/1/13/2162474/kapak_123831.jpg,2024-01-13 12:38:37+03:00,cumhuriyet
27,"ChatGPT, doktorlardan 10 kat daha hızlı rapor hazırlıyor","Bilim insanları, yapay zeka programı Chat GPT'nin doktorlardan yaklaşık 10 kat daha hızlı tıbbi rapor hazırladığını belirledi.",https://www.cumhuriyet.com.tr/bilim-teknoloji/chatgpt-doktorlardan-10-kat-daha-hizli-rapor-hazirliyor-2191368?utm_source=Anasayfa&utm_campaign=Cumhuriyet&utm_medium=BilimTeknoloji,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/30/2191368/kapak_070710.jpeg,2024-03-30 07:07:15+03:00,cumhuriyet
28,Peru liderine 'yolsuzluk' baskını: Ajanlar eve balyozla girdi!,"Perulu yetkililer, açıklanmayan lüks saatlerle ilgili devam eden yolsuzluk soruşturmasının bir parçası olarak Cumhurbaşkanı Dina Boluarte'nin evine baskın düzenledi.",https://www.cumhuriyet.com.tr/dunya/peru-liderine-yolsuzluk-baskini-ajanlar-eve-balyozla-girdi-2191489?utm_campaign=Cumhuriyet&utm_medium=SliderHaber&utm_source=Anasayfa,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/30/2191489/kapak_133925.jpg,2024-03-30 13:39:33+03:00,cumhuriyet
29,"Güven Hokna kimdir? Güven Hokna kaç yaşında, nereli?","Türk sinema ve tiyatrosunun önemli isimlerinden biri olan Güven Hokna'nın özel hayatı yurttaşlar tarafından araştırılıyor. Peki, Güven Hokna kimdir? Güven Hokna kaç yaşında, nereli?",https://www.cumhuriyet.com.tr/yasam/guven-hokna-kimdir-guven-hokna-kac-yasinda-nereli-2191099?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/29/2191099/kapak_120431.jpg,2024-03-29 12:04:34+03:00,cumhuriyet
