title,description,url,img_url,publication_date,publisher
İtalya donanmasına ait asbestli denizaltı ve fırkateynler söküm için yola çıktı,"İtalyan donanmasına ait gemilerin neden olabileceği tehlikelere dikkat çeken Asbest Söküm Uzmanları Derneği Başkanı Ensari, “Ege Denizi’nin altı ölüm saçıyor” diye konuştu.",https://www.cumhuriyet.com.tr/dunya/italya-donanmasina-ait-asbestli-denizalti-ve-firkateynler-sokum-icin-2195433?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195433/kapak_070431.jpg,2024-04-12 07:04:32+03:00,cumhuriyet
Çölyaklı açlığa mahkûm: Devletin verdiği aylık 360 TL destekle bir kilo makarna alınabiliyor,"Çölyak hastalarının gıda maliyetleri açlığa mahkum ediyor. 360 TL'lik devlet desteği ile ancak bir kilo makarna alınabiliyor. Çölyakla Yaşam Derneği Yönetim Kurulu Başkanı Serap Ardıç Aymelek, Cumhuriyet'e konuştu.",https://www.cumhuriyet.com.tr/ekonomi/colyakli-acliga-mahkum-devletin-verdigi-aylik-360-tl-destekle-bir-kilo-2195445?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195445/kapak_070318.jpg,2024-04-12 07:03:21+03:00,cumhuriyet
Sermayenin yeşil kıyımı: Doğayı talan eden projelere birbiri ardına yenileri eklenirken yurttaşların direnişi sürüyor,Çevre Bakanlığı Ocak 2024’ten bu yana 372 maden projesine onay verdi. Sermayenin orman ve tarım alanlarına yaptığı GES ve RES projelerinin 378’i onaylandı.,https://www.cumhuriyet.com.tr/cevre/sermayenin-yesil-kiyimi-dogayi-talan-eden-projelere-birbiri-ardina-2195429?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195429/kapak_070128.jpg,2024-04-12 07:01:30+03:00,cumhuriyet
Evlilik cep yakıyor: Geçen yıl ortalama 300 bin TL olan düğün ve ev kurma maliyeti bu yıl 600 bin TL,Yüksek enflasyon ortamı evlenecek çiftleri de sıkıntıya soktu. Artan fiyatların yanı sıra taksit sınırlaması da zorladı. Beyaz eşya ve mobilya satıcıları destek için kamu bankalarını göreve çağırdı.,https://www.cumhuriyet.com.tr/ekonomi/evlilik-cep-yakiyor-gecen-yil-ortalama-300-bin-tl-olan-dugun-ve-ev-2195442?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195442/kapak_065832.jpg,2024-04-12 06:58:33+03:00,cumhuriyet
"İYİ Parti, 27 Nisan’da kurultaya gidecek: ‘İktidarın yazdığı tanıdık bir tiyatro'","Yerel seçimlerde beklediği oyu alamayan İYİ Parti, 27 Nisan’da kurultaya gidecek.",https://www.cumhuriyet.com.tr/siyaset/iyi-parti-27-nisanda-kurultaya-gidecek-iktidarin-yazdigi-tanidik-2195440?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195440/kapak_065655.jpg,2024-04-12 06:56:56+03:00,cumhuriyet
AKP’de ‘kibir’ itirafı: Seçim yenilgisinin tartışıldığı partide ‘Güven azaldı’ değerlendirmesi yapıldı,"Yerel seçimlerde tarihi “hezimete” uğrayan AKP, seçim sonuçlarını masaya yatırdı. Cumhurbaşkanı Recep Tayyip Erdoğan başkanlığında toplanan son AKP Merkez Yürütme Kurulu (MYK) toplantısı sonrası seçim yenilgisi üzerinde yapılan çalışmalarda, dikkat çeken bir tespitin yer aldığı kaydediliyor.",https://www.cumhuriyet.com.tr/siyaset/akpde-kibir-itirafi-secim-yenilgisinin-tartisildigi-partide-guven-2195439?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195439/kapak_065525.jpg,2024-04-12 06:55:26+03:00,cumhuriyet
Erdoğan’ın Irak ziyaretinin ardından sınır ötesi harekât gündemde,"AKP'li Cumhurbaşkanı Tayyip Erdoğan’ın bu ay sonunda beklenen Bağdat ziyareti öncesi Türkiye’nin, Irak sınırı ile Süleymaniye hattı arasını “terörden temizlemek” için çalışmalarının hazır olduğu belirtiliyor. Ancak İran’ın bu durumdan rahatsız olduğu ve denkleme Rusya’yı ekleyerek sahayı kaotik bir duruma sokmaya çalıştığı da konuşuluyor.",https://www.cumhuriyet.com.tr/siyaset/erdoganin-irak-ziyaretinin-ardindan-sinir-otesi-harekat-gundemde-2195431?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195431/kapak_065422.jpg,2024-04-12 06:54:23+03:00,cumhuriyet
Bir rica da Erdoğan’dan: Bahçeli’den sonra cumhurbaşkanı da Akşener’e ‘Partinin başında kal’ çağrısı yaptı,"Olağanüstü kurultay kararı alan İYİ Parti Genel başkanı Meral Akşener’e, Şeker Bayramı dolayısıyla yapılan telefon görüşmesinde Cumhurbaşkanı Tayyip Erdoğan’ın “Ayrılmayın” dediği ileri sürüldü.",https://www.cumhuriyet.com.tr/siyaset/bir-rica-da-erdogandan-bahceliden-sonra-cumhurbaskani-da-aksenere-2195438?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195438/kapak_231806.jpg,2024-04-12 06:46:40+03:00,cumhuriyet
"‘Üçüncü yol’ karşılık bulmadı: Seçimde aday çıkaran İYİ, Zafer ve Memleket Partisi’nin başarısı tartışılıyor","Yerel seçimlerde seçmene “üçüncü yol” çıkışında bulunan ancak aldığı sonuçlar itibarıyla “hezimete” uğrayan başta İYİ Parti, Zafer Partisi ve Memleket Partisi’nin söylemi sandıkta karşılık bulmadı.",https://www.cumhuriyet.com.tr/siyaset/ucuncu-yol-karsilik-bulmadi-secimde-aday-cikaran-iyi-zafer-ve-2195450?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195450/kapak_001734.jpg,2024-04-12 06:41:47+03:00,cumhuriyet
CHP’li Akdoğan: Çalışanlar bayram tatili yapsın,"CHP Ankara Milletvekili ve TBMM Anayasa Komisyonu üyesi Umut Akdoğan, Perakende Ticaretin Düzenlenmesi Hakkında Yasa’da değişiklik yapılmasını öngören teklif hazırlığı hakkında açıklamalarda bulundu.",https://www.cumhuriyet.com.tr/siyaset/chpli-akdogan-calisanlar-bayram-tatili-yapsin-2195428?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195428/kapak_225109.jpg,2024-04-12 04:00:56+03:00,cumhuriyet
